tool	format	compression_level	replicate	time_cpu	time_elapsed	bytes	max_rss
bpcells	cellmajor		rep1	1780.8000000000002	304.731	168221112330	1162878976
bpcells	cellmajor		rep2	2063.0460000000003	216.18	168221112330	1162567680
bpcells	genemajor		rep1	10794.669	776.046	117227105706	1699028992
bpcells	genemajor		rep2	10560.015	794.612	117227105706	1698930688
bpcells	norm		rep1	1081.38	77.62	354127496	3282755584
bpcells	norm		rep2	1071.315	76.077	354127496	3282792448
tiledb	normalized	9	rep1	454608.65321513504	37648.79950141907	166104336357	28109459456
tiledb	normalized	9	rep2	462768.083773077	38282.03922176361	166104336360	27889594368
tiledb	raw	9	rep1	389881.883033116	32438.36641049385	147218464599	26200567808
tiledb	raw	9	rep2	394097.098676924	32669.59870290756	147218464598	24971341824
