tool	format	compression_level	replicate	time_cpu	time_elapsed	bytes	max_rss
bpcells	cellmajor		rep1	1727.615	89.206	168221112330	1156599808
bpcells	cellmajor		rep2	1742.69	87.513	168221112330	1156620288
bpcells	cellmajor		rep3	1737.393	82.727	168221112330	1156599808
bpcells	genemajor		rep1	6858.6849999999995	254.81500000000003	117227105706	2229788672
bpcells	genemajor		rep2	6844.014	258.801	117227105706	2229739520
bpcells	genemajor		rep3	6825.986	257.098	117227105706	2229768192
bpcells	norm		rep1	724.828	87.99	354127496	3275616256
bpcells	norm		rep2	728.748	88.13300000000001	354127496	3275571200
bpcells	norm		rep3	737.845	88.88300000000001	354127496	3275640832
tiledb	normalized	1	rep1	221921.130691384	16146.228107452393	195729972891	51353169920
tiledb	normalized	1	rep2	216528.710125286	15967.788031101229	195729972891	50993082368
tiledb	normalized	1	rep3	221511.785631547	16182.072909832	195729972354	49051885568
tiledb	normalized	9	rep1	280269.896809434	18296.282029628754	166104335823	51086512128
tiledb	normalized	9	rep2	280222.006155661	18257.4021487236	166104335826	49365676032
tiledb	normalized	9	rep3	279766.72840341	18172.155381441116	166104335828	51573022720
tiledb	raw	1	rep1	217361.930627103	15363.88884472847	161219714136	47564505088
tiledb	raw	1	rep2	215503.12054694	15122.880439519882	161219714135	47988019200
tiledb	raw	1	rep3	220071.29308680104	15589.491773605348	161219714135	46885548032
tiledb	raw	9	rep1	240074.014242538	16150.964184522629	147218464062	47118319616
tiledb	raw	9	rep2	238801.47533594896	15989.537807941437	147218464060	48100261888
tiledb	raw	9	rep3	239217.233319983	16054.471894025804	147218464064	46745653248
