tool	format	replicate	axis	slice_size	slice_type	slice_id	time_cpu	time_elapsed	entries_loaded
bpcells	cellmajor_norm	rep1	gene	60530	sequential	001	326.726	36.389	95645830752
bpcells	cellmajor_norm	rep2	gene	60530	sequential	001	318.692	32.687999999999995	95645830752
bpcells	cellmajor_norm	rep3	gene	60530	sequential	001	317.122	31.278	95645830752
bpcells	cellmajor	rep1	cell	1	random	001	0.6299999999999997	0.6309999999999998	1620
bpcells	cellmajor	rep1	cell	1	random	002	0.6289999999999998	0.6299999999999999	1393
bpcells	cellmajor	rep1	cell	1	random	003	0.6279999999999998	0.6280000000000006	5528
bpcells	cellmajor	rep1	cell	1	random	004	0.6259999999999999	0.6259999999999999	2600
bpcells	cellmajor	rep1	cell	1	random	005	0.6249999999999999	0.6269999999999998	2736
bpcells	cellmajor	rep1	cell	1	random	006	0.627	0.6290000000000004	637
bpcells	cellmajor	rep1	cell	1	random	007	0.6290000000000001	0.6280000000000001	690
bpcells	cellmajor	rep1	cell	1	random	008	0.6290000000000002	0.629	1604
bpcells	cellmajor	rep1	cell	1	random	009	0.6249999999999998	0.625	1496
bpcells	cellmajor	rep1	cell	1	random	010	0.6330000000000002	0.633	936
bpcells	cellmajor	rep1	cell	1	sequential	001	0.6659999999999996	0.6720000000000006	1227
bpcells	cellmajor	rep1	cell	1	sequential	002	0.6249999999999997	0.6250000000000004	244
bpcells	cellmajor	rep1	cell	1	sequential	003	0.6229999999999999	0.625	1779
bpcells	cellmajor	rep1	cell	1	sequential	004	0.6229999999999997	0.6240000000000006	2141
bpcells	cellmajor	rep1	cell	1	sequential	005	0.6279999999999999	0.6279999999999997	1842
bpcells	cellmajor	rep1	cell	1	sequential	006	0.6250000000000002	0.6259999999999999	3686
bpcells	cellmajor	rep1	cell	1	sequential	007	0.631	0.6319999999999997	986
bpcells	cellmajor	rep1	cell	1	sequential	008	0.6309999999999997	0.6319999999999997	607
bpcells	cellmajor	rep1	cell	1	sequential	009	0.6239999999999999	0.625	2065
bpcells	cellmajor	rep1	cell	1	sequential	010	0.6300000000000001	0.6310000000000002	902
bpcells	cellmajor	rep1	cell	10	random	001	0.627	0.6269999999999998	22019
bpcells	cellmajor	rep1	cell	10	random	002	0.6359999999999996	0.6339999999999999	18663
bpcells	cellmajor	rep1	cell	10	random	003	0.634	0.6340000000000003	13522
bpcells	cellmajor	rep1	cell	10	random	004	0.6310000000000001	0.6300000000000003	9603
bpcells	cellmajor	rep1	cell	10	random	005	0.6360000000000002	0.6350000000000002	27337
bpcells	cellmajor	rep1	cell	10	random	006	0.6340000000000002	0.6350000000000002	18738
bpcells	cellmajor	rep1	cell	10	random	007	0.6309999999999998	0.6309999999999998	22797
bpcells	cellmajor	rep1	cell	10	random	008	0.6350000000000003	0.6349999999999998	17717
bpcells	cellmajor	rep1	cell	10	random	009	0.6390000000000005	0.6379999999999999	23868
bpcells	cellmajor	rep1	cell	10	random	010	0.6379999999999997	0.6380000000000003	15870
bpcells	cellmajor	rep1	cell	10	sequential	001	0.6270000000000002	0.633	16899
bpcells	cellmajor	rep1	cell	10	sequential	002	0.6280000000000003	0.6279999999999997	18994
bpcells	cellmajor	rep1	cell	10	sequential	003	0.6290000000000001	0.6299999999999994	11307
bpcells	cellmajor	rep1	cell	10	sequential	004	0.6310000000000002	0.6309999999999998	17935
bpcells	cellmajor	rep1	cell	10	sequential	005	0.6329999999999999	0.6340000000000003	4431
bpcells	cellmajor	rep1	cell	10	sequential	006	0.6239999999999999	0.625	79381
bpcells	cellmajor	rep1	cell	10	sequential	007	0.6289999999999998	0.6299999999999999	24219
bpcells	cellmajor	rep1	cell	10	sequential	008	0.6279999999999999	0.6289999999999996	13630
bpcells	cellmajor	rep1	cell	10	sequential	009	0.6289999999999999	0.6310000000000002	86435
bpcells	cellmajor	rep1	cell	10	sequential	010	0.6249999999999996	0.6260000000000003	50471
