tool	format	normalization	threads	replicate	time_cpu	time_elapsed	axis
bpcells	cellmajor	NA	32	rep1	1005.156	39.501000000000005	cell
bpcells	cellmajor	NA	32	rep1	465.83	25.740999999999993	gene
bpcells	cellmajor	NA	32	rep2	998.391	38.578	cell
bpcells	cellmajor	NA	32	rep2	464.3710000000001	20.608000000000004	gene
bpcells	cellmajor	NA	32	rep3	1002.256	38.726	cell
bpcells	cellmajor	NA	32	rep3	469.05899999999986	25.753000000000007	gene
bpcells	cellmajor	lognorm	32	rep1	1147.3200000000002	42.816	cell
bpcells	cellmajor	lognorm	32	rep1	626.362	29.761000000000003	gene
bpcells	cellmajor	lognorm	32	rep2	1145.256	45.298	cell
bpcells	cellmajor	lognorm	32	rep2	625.5159999999998	28.485	gene
bpcells	cellmajor	lognorm	32	rep3	1142.554	44.706	cell
bpcells	cellmajor	lognorm	32	rep3	623.805	27.59200000000001	gene
bpcells	cellmajor	norm	32	rep1	1035.73	41.582	cell
bpcells	cellmajor	norm	32	rep1	507.9090000000001	28.684999999999995	gene
bpcells	cellmajor	norm	32	rep2	1029.6650000000002	40.105999999999995	cell
bpcells	cellmajor	norm	32	rep2	510.819	22.765	gene
bpcells	cellmajor	norm	32	rep3	1058.6280000000002	40.344	cell
bpcells	cellmajor	norm	32	rep3	507.21899999999994	24.453999999999994	gene
bpcells	genemajor	NA	32	rep1	435.389	21.617	cell
bpcells	genemajor	NA	32	rep1	931.765	31.562	gene
bpcells	genemajor	NA	32	rep2	438.5	20.744	cell
bpcells	genemajor	NA	32	rep2	931.048	31.438999999999997	gene
bpcells	genemajor	NA	32	rep3	441.724	21.278	cell
bpcells	genemajor	NA	32	rep3	939.656	31.691	gene
bpcells	genemajor	lognorm	32	rep1	717.624	26.405	cell
bpcells	genemajor	lognorm	32	rep1	1193.472	40.656	gene
bpcells	genemajor	lognorm	32	rep2	706.072	25.52500000000001	cell
bpcells	genemajor	lognorm	32	rep2	1181.04	40.425	gene
bpcells	genemajor	lognorm	32	rep3	711.0379999999999	25.906	cell
bpcells	genemajor	lognorm	32	rep3	1184.7099999999998	40.407999999999994	gene
bpcells	genemajor	norm	32	rep1	586.8820000000001	23.992999999999995	cell
bpcells	genemajor	norm	32	rep1	1069.882	36.466	gene
bpcells	genemajor	norm	32	rep2	597.9069999999999	23.786	cell
bpcells	genemajor	norm	32	rep2	1067.744	36.388000000000005	gene
bpcells	genemajor	norm	32	rep3	594.796	23.101	cell
bpcells	genemajor	norm	32	rep3	1064.38	36.364	gene
tiledb	NA	NA	32	rep1	5970.2350315680005	1981.675157546997	cell
tiledb	NA	NA	32	rep1	5688.953536014	1240.4849872589111	gene
tiledb	NA	NA	32	rep2	5955.530376766	1833.716705083847	cell
tiledb	NA	NA	32	rep2	5301.212121707	1185.3717873096466	gene
tiledb	NA	NA	32	rep3	6199.0558417699995	1874.8655896186829	cell
tiledb	NA	NA	32	rep3	5373.023865823	1179.8699765205383	gene
tiledb	NA	norm	32	rep1	5999.885795388999	1880.2631187438965	cell
tiledb	NA	norm	32	rep1	5395.009227036	1173.1653864383698	gene
tiledb	NA	norm	32	rep2	6211.347145208	1891.0109779834747	cell
tiledb	NA	norm	32	rep2	5266.305538412999	1167.603532075882	gene
tiledb	NA	norm	32	rep3	5687.176774884001	1904.3703062534332	cell
tiledb	NA	norm	32	rep3	5459.757521701	1227.001781463623	gene
