dataset	sample	filtered	field	bytes	elements
10k_pbmc	10k_pbmc	FALSE	cell	580142244	257638540
10k_pbmc	10k_pbmc	FALSE	end	311811860	257638540
10k_pbmc	10k_pbmc	FALSE	end_max	8051216	257638540
10k_pbmc	10k_pbmc	FALSE	metadata	10442001	257638540
10k_pbmc	10k_pbmc	FALSE	start	162468580	257638540
10k_pbmc	merged	FALSE	cell	579974964	257551492
10k_pbmc	merged	FALSE	end	311713860	257551492
10k_pbmc	merged	FALSE	end_max	8048496	257551492
10k_pbmc	merged	FALSE	metadata	10441596	257551492
10k_pbmc	merged	FALSE	start	162413332	257551492
10k_pbmc	10k_pbmc	TRUE	cell	438050060	245922805
10k_pbmc	10k_pbmc	TRUE	end	297411292	245922805
10k_pbmc	10k_pbmc	TRUE	end_max	7685096	245922805
10k_pbmc	10k_pbmc	TRUE	metadata	195219	245922805
10k_pbmc	10k_pbmc	TRUE	start	154613828	245922805
10k_pbmc	merged	TRUE	cell	438050060	245922805
10k_pbmc	merged	TRUE	end	297411292	245922805
10k_pbmc	merged	TRUE	end_max	7685096	245922805
10k_pbmc	merged	TRUE	metadata	195219	245922805
10k_pbmc	merged	TRUE	start	154613828	245922805
1m_brain	ACBGM	FALSE	cell	3457976	2526589
1m_brain	ACBGM	FALSE	end	3237048	2526589
1m_brain	ACBGM	FALSE	end_max	78964	2526589
1m_brain	ACBGM	FALSE	metadata	39422	2526589
1m_brain	ACBGM	FALSE	start	4473804	2526589
1m_brain	AMY	FALSE	cell	58199044	38008023
1m_brain	AMY	FALSE	end	48654740	38008023
1m_brain	AMY	FALSE	end_max	1187760	38008023
1m_brain	AMY	FALSE	metadata	134823	38008023
1m_brain	AMY	FALSE	start	43121764	38008023
1m_brain	ASCNT_1	FALSE	cell	29993468	18126785
1m_brain	ASCNT_1	FALSE	end	23215084	18126785
1m_brain	ASCNT_1	FALSE	end_max	566472	18126785
1m_brain	ASCNT_1	FALSE	metadata	151340	18126785
1m_brain	ASCNT_1	FALSE	start	22904676	18126785
1m_brain	ASCNT_2	FALSE	cell	14347836	9390573
1m_brain	ASCNT_2	FALSE	end	12027772	9390573
1m_brain	ASCNT_2	FALSE	end_max	293464	9390573
1m_brain	ASCNT_2	FALSE	metadata	81300	9390573
1m_brain	ASCNT_2	FALSE	start	13578308	9390573
