dataset	matrix	rows	cols
10k_pbmc	peaks	165376	10246
10k_pbmc	tiles	6176550	10246
11m_jax	rna	24552	11441407
130k_thymus_atlas	rna	33694	129362
1m_brain	peaks	544735	1134247
1m_brain	tiles	6176550	1134247
1m_neurons	rna	27998	1306127
20k_pbmc	rna	36601	23837
22m_pansci	rna	55416	21786931
2m_perturbseq	rna	8248	1989578
35k_hematopoiesis	peaks	506543	36766
35k_hematopoiesis	tiles	6191368	36766
3k_pbmc	peaks	98290	2711
3k_pbmc	tiles	6176550	2711
45k_pancreas	peaks	158561	45282
45k_pancreas	tiles	6176550	45282
480k_tabula_sapiens	rna	58870	483152
4m_fetal	rna	63561	4062980
500k_drugscreen	rna	36613	525251
500k_heart	peaks	151238	471109
500k_heart	tiles	6176550	471109
