tool	dataset	replicate	time_cpu	time_elapsed	max_rss
bpcells	11m_jax	rep1	925.429	925.394	1448341504
bpcells	11m_jax	rep2	940.859	940.829	1448218624
bpcells	11m_jax	rep3	921.594	921.635	1448259584
bpcells	11m_jax	rep4	935.277	935.236	1448259584
bpcells	11m_jax	rep5	981.521	981.525	1448259584
bpcells	130k_thymus_atlas	rep1	10.935	10.942	1448157184
bpcells	130k_thymus_atlas	rep2	10.865999999999998	10.875	1448148992
bpcells	130k_thymus_atlas	rep3	11.059	11.065	1448218624
bpcells	130k_thymus_atlas	rep4	10.816	10.824000000000002	1448218624
bpcells	130k_thymus_atlas	rep5	11.009	11.015	1448206336
bpcells	1m_neurons	rep1	96.915	96.926	1448148992
bpcells	1m_neurons	rep2	97.464	97.476	1448243200
bpcells	1m_neurons	rep3	96.851	96.862	1448247296
bpcells	1m_neurons	rep4	98.331	98.329	1448214528
bpcells	1m_neurons	rep5	97.401	97.427	1448251392
bpcells	20k_pbmc	rep1	2.2940000000000005	2.303	1447759872
bpcells	20k_pbmc	rep2	2.3459999999999996	2.353	1448030208
bpcells	20k_pbmc	rep3	2.2830000000000004	2.2910000000000004	1448034304
bpcells	20k_pbmc	rep4	2.3839999999999995	2.3920000000000003	1448034304
bpcells	20k_pbmc	rep5	2.359	2.365	1447759872
bpcells	22m_pansci	rep1	679.643	679.618	1448267776
bpcells	22m_pansci	rep2	682.71	682.6740000000001	1448267776
bpcells	22m_pansci	rep3	683.923	683.96	1448275968
bpcells	22m_pansci	rep4	691.315	691.293	1448267776
bpcells	22m_pansci	rep5	682.1329999999999	682.181	1448271872
bpcells	2m_perturbseq	rep1	322.70099999999996	322.695	1448247296
bpcells	2m_perturbseq	rep2	314.27200000000005	314.29800000000006	1448243200
bpcells	2m_perturbseq	rep3	316.60999999999996	316.586	1448280064
bpcells	2m_perturbseq	rep4	316.949	316.948	1448247296
bpcells	2m_perturbseq	rep5	317.64199999999994	317.64300000000003	1448251392
bpcells	480k_tabula_sapiens	rep1	47.256	47.266000000000005	1448161280
bpcells	480k_tabula_sapiens	rep2	47.285	47.301	1448255488
bpcells	480k_tabula_sapiens	rep3	46.991	47.00300000000001	1448259584
bpcells	480k_tabula_sapiens	rep4	47.026	47.102	1448259584
bpcells	480k_tabula_sapiens	rep5	47.047	47.054	1448218624
bpcells	4m_fetal	rep1	102.201	102.201	1448214528
bpcells	4m_fetal	rep2	102.1	102.104	1448247296
bpcells	4m_fetal	rep3	100.934	100.957	1448255488
bpcells	4m_fetal	rep4	102.683	102.684	1448251392
bpcells	4m_fetal	rep5	100.021	100.034	1448251392
bpcells	500k_drugscreen	rep1	60.998000000000005	61.010000000000005	1448243200
bpcells	500k_drugscreen	rep2	61.144	61.154	1448202240
bpcells	500k_drugscreen	rep3	66.282	66.286	1448243200
bpcells	500k_drugscreen	rep4	60.248	60.252	1448243200
bpcells	500k_drugscreen	rep5	62.296	62.30700000000001	1448243200
dgCMatrix	130k_thymus_atlas	rep1	6.444000000000001	6.445	16804601856
dgCMatrix	130k_thymus_atlas	rep2	6.484	6.482999999999997	16804470784
dgCMatrix	130k_thymus_atlas	rep3	6.412000000000001	6.412000000000003	16804503552
dgCMatrix	130k_thymus_atlas	rep4	6.613000000000003	6.6129999999999995	16804446208
dgCMatrix	130k_thymus_atlas	rep5	7.601000000000001	7.600000000000001	16804696064
dgCMatrix	20k_pbmc	rep1	1.077999999999999	1.0780000000000003	3419676672
dgCMatrix	20k_pbmc	rep2	1.0840000000000003	1.0839999999999996	3419672576
